Unnamed: 0,LISTA DE PREÇOS - REF: 01/23,Unnamed: 1,Unnamed: 2
Linha:,GAXETA E RASPADOR
Código,Descrição UN,Preço Unitário R$% IPI,
1822,"RASPADOR TIPO D  41,00 X 52,00 X 3,00 ","6,304 ",
1833,"GAXETA  AG 2  40,00 X 50,00 X 11,00 ","14,114 ",
1841,"RASPADOR TIPO D  50,00 X 62,00 X 3,00 ","7,059 ",
1844,"CJTO. GAX. AG15 70 X 90,5 X 14,5/21,0  C/GUIA EM L ","30,831 ",
1848,"RASPADOR TIPO D  73,00 X 86,00 X 4,00 ","12,609 ",
1850,"GAXETA  AG 2  35,00 X 50,00 X 10,00 ","16,134 ",
1854,"CJTO. GAX. AG15  90 X110 X 11,7/18,0  C/GUIA EM L ","40,418 ",
1861,"GAXETA  AG 3  131,00 X 150,00 X 16,00 ","89,730 ",
1862,"GAXETA  AG 3  144,00 X 162,00 X 16,00 ","100,827 ",
1863,"GAXETA  AG 2  109,00 X 128,00 X 15,50 ","50,409 ",
18700250,GAXETA1/4 X 5/8 X 3/16 ,"3,526 ",
18700250-250,GAXETA  1/4 X 5/8 X 1/4 ,"4,034 ",
18700250-312,GAXETA  1/4 X 5/8 X 5/16 ,"4,034 ",
18700312-312,GAXETA  5/16 X 11/16 X 5/16 ,"4,034 ",
18700375,GAXETA3/8 X 3/4 X 3/16 ,"3,526 ",
18700375-312,GAXETA  3/8 X 3/4 X 5/16 ,"4,034 ",
18700500,GAXETA1/2 X 7/8 X 3/16 ,"3,526 ",
18700500-312,GAXETA 1/2 X 7/8 X 5/16 ,"4,989 ",
18700562,GAXETA9/16 X 15/16 X 3/16 ,"4,034 ",
18700625,GAXETA5/8 X 1 X 3/16 ,"4,034 ",
18700625-250,GAXETA  5/8 X 1 X 1/4 ,"5,036 ",
18700625-250BS,GAXETA AG 4  5/8 X 1 X 1/4 ,"12,547 ",
18700625-312,GAXETA  5/8 X 1 X 5/16 ,"4,034 ",
18700687,GAXETA  11/16 X 1.1/16 X 3/16 ,"4,431 ",
18700687-312,GAXETA  11/16 X 1.1/16 X 5/16 ,"5,036 ",
18700750,GAXETA  3/4 X 1.1/8 X 3/16 ,"5,247 ",
18700750-312,GAXETA  3/4 X 1.1/8 X 5/16 ,"4,393 ",
18700812,GAXETA  13/16 X 1.3/16 X 3/16 ,"5,872 ",
18700812-187,GAXETA  13/16 X 1.3/16 X 3/16 ,"5,872 ",
18700812-312,GAXETA  13/16 X 1.3/16 X 5/16 ,"4,535 ",
18700875,GAXETA  7/8 X 1.1/4 X 3/16 ,"4,431 ",
18700875-250,GAXETA  7/8 X 1.1/4 X 1/4 ,"4,878 ",
18700875-312,GAXETA  7/8 X 1.1/4 X 5/16 ,"4,893 ",
18701000,GAXETA  1 X 1.3/8 X 3/16 ,"4,535 ",
18701000-312,GAXETA  1 X 1.3/8 X 5/16 ,"5,448 ",
18701000-312BS,GAXETA  AG 4  1 X 1.3/8 X 5/16 ,"9,097 ",
18701062,GAXETA  1.1/16 X 1.7/16 X 3/16 ,"4,535 ",
18701062-250,GAXETA  1.1/16 X 1.7/16 X 1/4 ,"5,448 ",
Linha:,GAXETA E RASPADOR
Código,Descrição UN,Preço Unitário R$% IPI,
18701062-312,GAXETA  1.1/16 X 1.7/16 X 5/16 ,"5,851 ",
18701125,GAXETA  1.1/8 X 1.1/2 X 3/16 ,"4,797 ",
18701125-312,GAXETA  1.1/8 X 1.1/2 X 5/16 ,"6,053 ",
18701187,GAXETA  1.3/16 X 1.9/16 X 3/16 ,"5,036 ",
18701187-312,GAXETA  1.3/16 X 1.9/16 X 5/16 ,"5,996 ",
18701250,GAXETA1.1/4 X 1.5/8 X 3/16 ,"6,053 ",
18701250-312,GAXETA1.1/4 X 1.5/8 X 5/16 ,"6,556 ",
18701250-312BS,GAXETA AG 4  1.1/4 X 1.5/8 X 5/16 ,"11,750 ",
18701250-375,GAXETA1.1/4 X 1.5/8 X 3/8 ,"6,712 ",
18701312,GAXETA  1.5/16 X 1.11/16 X 3/16 ,"6,053 ",
18701312-312,GAXETA  1.5/16 X 1.11/16 X 5/16 ,"6,556 ",
18701375,GAXETA1.3/8 X 1.3/4 X 3/16 ,"6,346 ",
18701375-250,GAXETA  1.3/8 X 1.3/4 X 1/4 ,"6,254 ",
18701375-312,GAXETA  1.3/8 X 1.3/4 X 5/16 ,"6,856 ",
18701375-375,GAXETA  1.3/8 X 1.3/4 X 3/8 ,"8,121 ",
18701437-312,GAXETA  1.7/16 X 1.13/16 X 5/16 ,"9,801 ",
18701437-375,GAXETA  1.7/16 X 1.13/16 X 3/8 ,"9,893 ",
18701500,GAXETA  1.1/2 X 1.7/8 X 3/16 ,"6,856 ",
18701500-312,GAXETA  1.1/2 X 1.7/8 X 5/16 ,"7,158 ",
18701500-375,GAXETA  1.1/2 X 1.7/8 X 3/8 ,"8,568 ",
18701625,GAXETA1.5/8 X 2 X 3/16 ,"7,362 ",
18701625-312,GAXETA  1.5/8 X 2 X 5/16 ,"7,856 ",
18701625-375,GAXETA  1.5/8 X 2 X 3/8 ,"9,279 ",
18701750,GAXETA  1.3/4 X 2.1/8 X 3/16 ,"7,563 ",
18701750-250,GAXETA  1.3/4 X 2.1/8 X 1/4 ,"8,368 ",
18701750-250BS,GAXETA  AG 4  1.3/4 X 2.1/8 X 1/4 ,"9,077 ",
18701750-312,GAXETA  1.3/4 X 2.1/8 X 5/16 ,"8,368 ",
18701750-375,GAXETA  1.3/4 X 2.1/8 X 3/8 ,"9,929 ",
18701812-375,GAXETA  1.13/16 X 2.3/16 X 3/8 ,"10,328 ",
18701875,GAXETA  1.7/8 X 2.1/4 X 3/16 ,"8,064 ",
18701875-375,GAXETA  1.7/8 X 2.1/4 X 3/8 ,"10,530 ",
18702000,GAXETA  2 X 2.3/8 X 3/16 ,"8,568 ",
18702000-375,GAXETA  2 X 2.3/8 X 3/8 ,"11,137 ",
18702125,GAXETA  2.1/8 X 2.1/2 X 3/16 ,"9,077 ",
18702125-375,GAXETA  2.1/8 X 2.1/2 X 3/8 ,"11,851 ",
18702125-375BS,GAXETA  AG 4  2.1/8 X 2.1/2 X 3/8 ,"36,732 ",
18702250,GAXETA  2.1/4 X 2.5/8 X 3/16 ,"9,571 ",
18702250-375,GAXETA2.1/4 X 2.5/8 X 3/8 ,"12,609 ",
18702375,GAXETA  2.3/8 X 2.3/4 X 3/16 ,"10,527 ",
18702375-375,GAXETA2.3/8 X 2.3/4 X 3/8 ,"13,167 ",
18702375-500,GAXETA2.3/8 X 2.3/4 X 1/2 ,"18,147 ",
18702500,GAXETA  2.1/2 X 2.7/8 X 3/16 ,"11,095 ",
18702500-312BS,GAXETA  AG 4  2.1/2 X 2.7/8 X 5/16 ,"19,479 ",
18702500-375,GAXETA  2.1/2 X 2.7/8 X 3/8 ,"13,765 ",
18702500-375BS,GAXETA  AG 4  2.1/2 X 2.7/8 X 3/8 ,"19,780 ",
