Cod,Ref,Ø INT,ØEXT. ,H,Grupo Tipo ,Marca,NCM,cest,tributação,unidade,Preco,Alfanumérico
4367,4367,130,150,15,,,,,,,"41,25",4367
6297,6297,32,47,10,,,,,,,#N/A,6297
3067,3067,138,147,12,,,,,,,"50,41",3067
3864,3864,32,50,10,,,,,,,"18,15",3864
6988,18700625250BS,5/8,1,1/4,,,,,,,"12,55",6988
6390,18701000312BS,1,1 3/8,5/16,,,,,,,"9,10",6390
6990,18701250312BS,1 1/4,1 5/8,5/16,,,,,,,"11,75",6990
6570,25001500375BS,1 1/2,2,3/8,,,,,,,"13,82",6570
6354,18701750250BS,1 3/4,2 1/8,1/4,,,,,,,"9,08",6354
6571,25001750375BS,1 3/4,2 1/4,3/8,,,,,,,"14,77",6571
6612,25002000312BS,2,2 1/2,5/16,,,,,,,"15,12",6612
6572,25002000375BS,2,2 1/2,3/8,,,,,,,"17,84",6572
9140,18702125375BS,2 1/8,2 1/2,3/8,,,,,,,"36,73",9140
3680,25002125312BS,2 1/8,2 5/8,5/16,,,,,,,"15,73",3680
6573,25002250375BS,2 1/4,2 3/4,3/8,,,,,,,"17,64",6573
AG7201,18702500312BS,2 1/2,2 7/8,5/16,,,,,,,"19,48",AG7201
AG7315,18702500375BS,2 1/2,2 7/8,3/8,,,,,,,"19,78",AG7315
6613,25002500312BS,2 1/2,3,5/16,,,,,,,"19,16",6613
6574,25002500375BS,2 1/2,3,3/8,,,,,,,"21,58",6574
6356,25002750312BS,2 3/4,3 1/4,5/16,,,,,,,"19,86",6356
6575,25002750375BS,2 3/4,3 1/4,3/8,,,,,,,"22,69",6575
6576,25003000375BS,3,3 1/2,3/8,,,,,,,"25,91",6576
AX0142,31205625625BS,5 5/8,6 1/4,5/8,,,,,,,"179,76",AX0142
AG8262,,"15,9","20,1","2,8",,,,,,,#N/A,AG8262
AG8306,,"15,9","20,5",7,,,,,,,#N/A,AG8306
6762,,16,24,"5,7",,,,,,,#N/A,6762
5841,,18,28,8,,,,,,,#N/A,5841
5801,,20,25,"4,5",,,,,,,#N/A,5801
6732,611800787250BS,20,26,"6,35",,,,,,,"8,62",6732
9941,,20,28,"5,7",,,,,,,#N/A,9941
6745,,22,32,"7,3",,,,,,,#N/A,6745
9265,,24,30,5,,,,,,,#N/A,9265
AG7115,,25,33,"6,8",,,,,,,#N/A,AG7115
AG7464,,25,35,7,,,,,,,#N/A,AG7464
6243,,25,35,8,,,,,,,#N/A,6243
9673,,25,36,"7,3",,,,,,,#N/A,9673
6298,,28,33,"4,5",,,,,,,#N/A,6298
AG7557,,28,36,"7,3",,,,,,,#N/A,AG7557
6998,,30,45,10,,,,,,,#N/A,6998
6774,,"31,5","41,5",8,,,,,,,#N/A,6774
5536,,32,40,7,,,,,,,#N/A,5536
6626,619701378275BS,35,45,7,,,,,,,"7,66",6626
5844,,36,42,"4,5",,,,,,,#N/A,5844
AG7299,,36,44,8,,,,,,,#N/A,AG7299
6014,,36,49,"9,5",,,,,,,#N/A,6014
1323,,38,48,7,,,,,,,#N/A,1323
5622,,38,48,8,,,,,,,#N/A,5622
5717,,40,48,"5,7",,,,,,,#N/A,5717
3640,619701574275BS,40,50,7,,,,,,,"8,06",3640
6485,619701574354BS,40,50,9,,,,,,,"10,09",6485
5665,619701574393BS,40,50,10,,,,,,,"11,60",5665
6773,,44,54,9,,,,,,,#N/A,6773
6879,,45,53,"5,7",,,,,,,#N/A,6879
3641,,45,55,7,,,,,,,#N/A,3641
AG7210,619701772394BS,45,55,10,,,,,,,"23,28",AG7210
AG7393,,47,57,6,,,,,,,#N/A,AG7393
3730,,"49,6","62,5",9,,,,,,,#N/A,3730
6775,,50,60,"7,3",,,,,,,#N/A,6775
6764,625601968354BS,50,63,9,,,,,,,"17,23",6764
AG7206,629501968393BS,50,65,10,,,,,,,"24,57",AG7206
1324,,"50,8","63,5",10,,,,,,,#N/A,1324
1967,,56,71,10,,,,,,,#N/A,1967
1325,,"57,15","69,85",10,,,,,,,#N/A,1325
AG7207,,60,70,10,,,,,,,#N/A,AG7207
3601,,60,70,15,,,,,,,#N/A,3601
1942,,60,75,10,,,,,,,#N/A,1942
AG7390,,62,72,10,,,,,,,#N/A,AG7390
1981,,63,79,10,,,,,,,#N/A,1981
1321,,"63,5","76,2",10,,,,,,,#N/A,1321
3642,,70,83,10,,,,,,,#N/A,3642
3753,,70,83,13,,,,,,,#N/A,3753
3009,,70,85,"10,5",,,,,,,#N/A,3009
3563,,70,85,12,,,,,,,#N/A,3563
4182,,78,88,"13,5",,,,,,,#N/A,4182
3602,,78,88,15,,,,,,,#N/A,3602
3628,,80,90,10,,,,,,,#N/A,3628
3643,,80,93,10,,,,,,,#N/A,3643
3562,,80,95,12,,,,,,,#N/A,3562
4404,,80,100,12,,,,,,,#N/A,4404
AG7271,,85,95,12,,,,,,,#N/A,AG7271
3416,,85,100,9,,,,,,,#N/A,3416
3684,,"88,9","101,6",10,,,,,,,#N/A,3684
6689,,90,100,"7,3",,,,,,,#N/A,6689
3777,,95,110,"9,2",,,,,,,#N/A,3777
3493,,95,110,10,,,,,,,#N/A,3493
3603,,99,109,15,,,,,,,#N/A,3603
3629,,100,108,"11,7",,,,,,,#N/A,3629
4183,,100,110,"13,5",,,,,,,#N/A,4183
3369,,100,120,12,,,,,,,#N/A,3369
4341,,110,125,15,,,,,,,#N/A,4341
3630,,118,126,"11,7",,,,,,,#N/A,3630
4184,,120,130,"13,5",,,,,,,#N/A,4184
3604,,120,130,15,,,,,,,#N/A,3604
3631,,138,146,"11,7",,,,,,,#N/A,3631
4185,,140,150,"13,5",,,,,,,#N/A,4185
4576,,140,155,10,,,,,,,#N/A,4576
3605,,141,151,15,,,,,,,#N/A,3605
3632,,160,170,13,,,,,,,#N/A,3632
3606,,162,172,15,,,,,,,#N/A,3606
4186,,164,174,"13,5",,,,,,,#N/A,4186
4187,,183,193,"13,5",,,,,,,#N/A,4187
3607,,183,193,15,,,,,,,#N/A,3607
3626,,185,195,13,,,,,,,#N/A,3626
4181,,207,217,"13,5",,,,,,,#N/A,4181
3608,,207,217,15,,,,,,,#N/A,3608
3618,,212,222,13,,,,,,,#N/A,3618
3609,,231,241,15,,,,,,,#N/A,3609
5744,,"7,5","13,5","3,5",,,,,,,#N/A,5744
6875,,"29,5",43,8,,,,,,,#N/A,6875
6175,,31,44,"9,5",,,,,,,#N/A,6175
AG7146,,35,50,10,,,,,,,#N/A,AG7146
AG8303,,40,"55,5",6,,,,,,,#N/A,AG8303
6868,,"52,3","65,2","8,5",,,,,,,#N/A,6868
AG7147,,60,70,12,,,,,,,#N/A,AG7147
6932,,60,80,13,,,,,,,#N/A,6932
6859,,"76,2","95,2",12,,,,,,,#N/A,6859
1861,,131,150,16,,,,,,,#N/A,1861
1862,,144,162,16,,,,,,,#N/A,1862
9376,,18,27,6,,,,,,,#N/A,9376
6555,,20,26,5,,,,,,,#N/A,6555
9923,,25,33,6,,,,,,,#N/A,9923
5729,,28,36,6,,,,,,,#N/A,5729
1725,,36,44,6,,,,,,,#N/A,1725
5533,,36,44,8,,,,,,,#N/A,5533
9103,,40,48,6,,,,,,,#N/A,9103
5551,,40,48,8,,,,,,,#N/A,5551
3881,,45,53,6,,,,,,,#N/A,3881
6918,,49,70,12,,,,,,,#N/A,6918
6633,,6,14,6,,,,,,,#N/A,6633
6529,,12,20,7,,,,,,,#N/A,6529
5043,,"59,4","75,3","12,5",,,,,,,#N/A,5043
1979,,60,76,13,,,,,,,#N/A,1979
3181,,"63,5",83,12,,,,,,,#N/A,3181
4313,,126,152,"15,7",,,,,,,#N/A,4313
4127,,165,181,"16,5",,,,,,,#N/A,4127
1628,,185,207,15,,,,,,,#N/A,1628
9256,,4,10,4,,,,,,,#N/A,9256
6654,,10,18,"5,7",,,,,,,#N/A,6654
6472,,"15,5","24,5",4,,,,,,,#N/A,6472
5709,,18,29,8,,,,,,,#N/A,5709
5641,,18,45,12,,,,,,,#N/A,5641
AG7350,,25,35,9,,,,,,,#N/A,AG7350
5710,,31,48,8,,,,,,,#N/A,5710
AG7158,,"31,75","41,28","4,76",,,,,,,#N/A,AG7158
6761,,"33,5",53,"11,2",,,,,,,#N/A,6761
5617,,38,45,"6,3",,,,,,,#N/A,5617
6544,,40,47,6,,,,,,,#N/A,6544
1821,,40,48,10,,,,,,,#N/A,1821
3569,,55,78,12,,,,,,,#N/A,3569
4170,,"152,4","177,8",12,,,,,,,#N/A,4170
4828,,155,"179,3","12,7",,,,,,,#N/A,4828
1620B,,"177,8","203,2","12,7",,,,,,,#N/A,1620B
4058,,"180,98","206,38","12,7",,,,,,,#N/A,4058
4320,,182,206,14,,,,,,,#N/A,4320
1431,,"22,22","34,92","9,5",,,,,,,#N/A,1431
1430,,39,62,13,,,,,,,#N/A,1430
AX0146,,65,85,10,,,,,,,#N/A,AX0146
1428,,71,91,"12,3",,,,,,,#N/A,1428
3402,,70,90,"11,5",,,,,,,#N/A,3402
5505,,70,84,"8,7",,,,,,,#N/A,5505
3193,,80,96,"6,35",,,,,,,#N/A,3193
3176,,85,"101,6",6,,,,,,,#N/A,3176
3187,,"95,25","111,12","6,35",,,,,,,#N/A,3187
AG7291,,40,"48,6",8,,,,,,,#N/A,AG7291
3850,,80,88,9,,,,,,,#N/A,3850
AG7482,,50,"65,5",6,,,,,,,#N/A,AG7482
3200,,"57,1",75,"5,5",,,,,,,#N/A,3200
3863,,64,81,5,,,,,,,#N/A,3863
AG7400,,64,81,"5,5",,,,,,,#N/A,AG7400
3681,,80,"95,1","5,9",,,,,,,#N/A,3681
3682,,85,101,6,,,,,,,#N/A,3682
3683,,"88,9","105,8","6,35",,,,,,,#N/A,3683
AG7072,,100,"115,5",6,,,,,,,#N/A,AG7072
AG7363,,45,"60,1","5,9",,,,,,,#N/A,AG7363
AG7364,,56,"71,1","5,9",,,,,,,#N/A,AG7364
AG7208,,60,"75,5",6,,,,,,,#N/A,AG7208
AG7044,,62,79,6,,,,,,,#N/A,AG7044
AG7964,,70,"85,1","5,9",,,,,,,#N/A,AG7964
AG7664,,72,83,"15,5",,,,,,,#N/A,AG7664
1844,,70,"90,5","14,5",,,,,,,#N/A,1844
1854,,90,110,"11,7",,,,,,,#N/A,1854
5938,,30,41,9,,,,,,,#N/A,5938
6728,,65,80,"11,7",,,,,,,#N/A,6728
6030,,70,84,11,,,,,,,#N/A,6030
6158,,35,60,16,,,,,,,#N/A,6158
1789,,45,69,"15,5",,,,,,,#N/A,1789
8400PM,,75,90,"8,5",,,,,,,#N/A,8400PM
6159,,"15,88","22,23","5,56",,,,,,,#N/A,6159
1948,,80,100,14,,,,,,,#N/A,1948
9107,,19,24,"3,8",,,,,,,#N/A,9107
AG7008,,3,8,4,,,,,,,#N/A,AG7008
6800,,40,50,"7,5",,,,,,,#N/A,6800
9162,,66,74,4,,,,,,,#N/A,9162
4212,,205,235,"15,8",,,,,,,#N/A,4212
6627,,8,"12,5","3,5",,,,,,,#N/A,6627
9163,,8,"13,5","4,5",,,,,,,#N/A,9163
6111,,10,14,4,,,,,,,#N/A,6111
6643,,"12,7","19,05",4,,,,,,,#N/A,6643
9816,,15,"19,5","3,5",,,,,,,#N/A,9816
6714,,16,21,"3,5",,,,,,,#N/A,6714
AG7085,,25,30,"5,5",,,,,,,#N/A,AG7085
9400,,36,43,"6,5",,,,,,,#N/A,9400
6713,,60,68,"5,5",,,,,,,#N/A,6713
6140,,75,83,6,,,,,,,#N/A,6140
AG7078,,75,83,9,,,,,,,#N/A,AG7078
4076,,95,110,13,,,,,,,#N/A,4076
6763,,"29,5",43,8,,,,,,,#N/A,6763
5780,12500125,1/8,3/8,1/8,,,,,,,"3,53",5780
9425,12500937,15/16,1 3/16,1/8,,,,,,,"4,43",9425
5777,12500250,1/4,1/2,1/8,,,,,,,"3,53",5777
6987,25000937,15/16,1 7/16,1/4,,,,,,,"6,97",6987
5779,18700250,1/4,5/8,3/16,,,,,,,"3,53",5779
6794,31200937,15/16,1 9/16,5/16,,,,,,,"6,97",6794
5778,25000250,1/4,3/4,1/4,,,,,,,"3,53",5778
5163,12501000,1,1 1/4,1/8,,,,,,,"4,54",5163
6402,12500312,5/16,9/16,1/8,,,,,,,"3,53",6402
5246,18701000,1,1 3/8,3/16,,,,,,,"4,54",5246
6789,25000312,5/16,13/16,1/4,,,,,,,"3,53",6789
5088,25001000,1,1 1/2,1/4,,,,,,,"5,29",5088
6403,12500375,3/8,5/8,1/8,,,,,,,"3,53",6403
1747,31201000,1,1 5/8,5/16,,,,,,,"8,57",1747
6368,18700375,3/8,3/4,3/16,,,,,,,"3,53",6368
6420,37501000,1,1 3/4,3/8,,,,,,,"10,53",6420
6792,25000375,3/8,7/8,1/4,,,,,,,"3,53",6792
6797,50001000,1,2,1/2,,,,,,,"19,97",6797
AG7300,31200375,3/8,1,5/16,,,,,,,"6,57",AG7300
6408,12501062,1 1/16,1 5/16,1/8,,,,,,,"5,55",6408
6404,12500437,7/16,11/16,1/8,,,,,,,"3,53",6404
6795,18701062,1 1/16,1 7/16,3/16,,,,,,,"4,54",6795
6793,25000437,7/16,15/16,1/4,,,,,,,"3,53",6793
6419,25001062,1 1/16,1 9/16,1/4,,,,,,,"5,55",6419
9917,31200437,7/16,1 1/16,5/16,,,,,,,"6,57",9917
AG7303,31201062,1 1/16,1 11/16,5/16,,,,,,,"8,09",AG7303
5139,12500500,1/2,3/4,1/8,,,,,,,"3,53",5139
AG7313,37501062,1 1/16,1 13/16,3/8,,,,,,,"11,39",AG7313
6369,18700500,1/2,7/8,3/16,,,,,,,"3,53",6369
5186,12501125,1 1/8,1 3/8,1/8,,,,,,,"5,80",5186
5776,25000500,1/2,1,1/4,,,,,,,"3,53",5776
5155,18701125,1 1/8,1 1/2,3/16,,,,,,,"4,80",5155
6798,31200500,1/2,1 1/8,5/16,,,,,,,"5,68",6798
5472,25001125,1 1/8,1 5/8,1/4,,,,,,,"5,80",5472
AG7312,37500500,1/2,1 1/4,3/8,,,,,,,"6,69",AG7312
5570,31201125,1 1/8,1 3/4,5/16,,,,,,,"7,06",5570
6405,12500562,9/16,13/16,1/8,,,,,,,"4,03",6405
5571,37501125,1 1/8,1 7/8,3/8,,,,,,,"11,39",5571
6416,18700562,9/16,15/16,3/16,,,,,,,"4,03",6416
6409,12501187,1 3/16,1 7/16,1/8,,,,,,,"6,05",6409
AG7301,31200562,9/16,1 3/16,5/16,,,,,,,"7,12",AG7301
5696,18701187,1 3/16,1 9/16,3/16,,,,,,,"5,04",5696
6799,37500562,9/16,1 5/16,3/8,,,,,,,"6,70",6799
6557,25001187,1 3/16,1 11/16,1/4,,,,,,,"6,05",6557
5131,12500625,5/8,7/8,1/8,,,,,,,"4,03",5131
6299,31201187,1 3/16,1 13/16,5/16,,,,,,,"9,98",6299
5561,18700625,5/8,1,3/16,,,,,,,"4,03",5561
AG7314,37501187,1 3/16,1 15/16,3/8,,,,,,,"12,07",AG7314
5135,25000625,5/8,1 1/8,1/4,,,,,,,"4,03",5135
6410,12501250,1 1/4,1 1/2,1/8,,,,,,,"6,05",6410
5562,31200625,5/8,1 1/4,5/16,,,,,,,"6,56",5562
5112,18701250,1 1/4,1 5/8,3/16,,,,,,,"6,05",5112
5563,37500625,5/8,1 3/8,3/8,,,,,,,"7,56",5563
5906,25001250,1 1/4,1 3/4,1/4,,,,,,,"6,56",5906
5272,12500687,11/16,15/16,1/8,,,,,,,"4,43",5272
5152,31201250,1 1/4,1 7/8,5/16,,,,,,,"10,09",5152
6791,18700687,11/16,1 1/16,3/16,,,,,,,"4,43",6791
5572,37501250,1 1/4,2,3/8,,,,,,,"12,31",5572
AG7302,31200687,11/16,1 5/16,5/16,,,,,,,"7,25",AG7302
AG7326,50001250,1 1/4,2 1/4,1/2,,,,,,,"26,50",AG7326
5103,12500750,3/4,1,1/8,,,,,,,"5,55",5103
6411,12501312,1 5/16,1 9/16,1/8,,,,,,,"6,05",6411
5095,18700750,3/4,1 1/8,3/16,,,,,,,"5,25",5095
6401,18701312,1 5/16,1 11/16,3/16,,,,,,,"6,05",6401
5564,25000750,3/4,1 1/4,1/4,,,,,,,"5,25",5564
AG7304,31201312,1 5/16,1 15/16,5/16,,,,,,,"10,73",AG7304
5565,31200750,3/4,1 3/8,5/16,,,,,,,"7,06",5565
9426,12501375,1 3/8,1 5/8,1/8,,,,,,,"6,29",9426
5566,37500750,3/4,1 1/2,3/8,,,,,,,"8,42",5566
1571,18701375,1 3/8,1 3/4,3/16,,,,,,,"6,35",1571
6407,12500812,13/16,1 1/16,1/8,,,,,,,"5,87",6407
5108,25001375,1 3/8,1 7/8,1/4,,,,,,,"6,80",5108
6417,18700812,13/16,1 3/16,3/16,,,,,,,"5,87",6417
5475,31201375,1 3/8,2,5/16,,,,,,,"11,10",5475
5143,25000812,13/16,1 5/16,1/4,,,,,,,"6,05",5143
5573,37501375,1 3/8,2 1/8,3/8,,,,,,,"13,20",5573
5782,12500875,7/8,1 1/8,1/8,,,,,,,"4,43",5782
6796,12501437,1 7/16,1 11/16,1/8,,,,,,,"6,03",6796
5781,18700875,7/8,1 1/4,3/16,,,,,,,"4,43",5781
6418,31201437,1 7/16,2 1/16,5/16,,,,,,,"11,63",6418
5567,25000875,7/8,1 3/8,1/4,,,,,,,"5,04",5567
6412,12501500,1 1/2,1 3/4,1/8,,,,,,,"6,30",6412
5568,31200875,7/8,1 1/2,5/16,,,,,,,"8,06",5568
5147,18701500,1 1/2,1 7/8,3/16,,,,,,,"6,86",5147
5569,37500875,7/8,1 5/8,3/8,,,,,,,"9,63",5569
1068,25001500,1 1/2,2,1/4,,,,,,,"7,36",1068
3456,31201500,1 1/2,2 1/8,5/16,,,,,,,"12,09",3456
3466,37502625,2 5/8,3 3/8,3/8,,,,,,,"22,69",3466
3457,37501500,1 1/2,2 1/4,3/8,,,,,,,"19,67",3457
5128,18702750,2 3/4,3 1/8,3/16,,,,,,,"12,09",5128
AG7327,50001500,1 1/2,2 1/2,1/2,,,,,,,"29,08",AG7327
1565,25002750,2 3/4,3 1/4,1/4,,,,,,,"12,71",1565
5159,18701625,1 5/8,2,3/16,,,,,,,"7,36",5159
1609,31202750,2 3/4,3 3/8,5/16,,,,,,,"20,17",1609
5151,25001625,1 5/8,2 1/8,1/4,,,,,,,"8,06",5151
1577,37502750,2 3/4,3 1/2,3/8,,,,,,,"23,59",1577
3458,31201625,1 5/8,2 1/4,5/16,,,,,,,"12,91",3458
AG7947,62502750,2 3/4,4,5/8,,,,,,,"43,14",AG7947
3459,37501625,1 5/8,2 3/8,3/8,,,,,,,"15,12",3459
6429,18702875,2 7/8,3 1/4,3/16,,,,,,,"12,61",6429
6827,12501750,1 3/4,2,1/8,,,,,,,"6,87",6827
3467,25002875,2 7/8,3 3/8,1/4,,,,,,,"13,11",3467
1083,18701750,1 3/4,2 1/8,3/16,,,,,,,"7,56",1083
3415,31202875,2 7/8,3 1/2,5/16,,,,,,,"21,18",3415
5164,25001750,1 3/4,2 1/4,1/4,,,,,,,"8,37",5164
5816,37502875,2 7/8,3 5/8,3/8,,,,,,,"24,50",5816
5144,31201750,1 3/4,2 3/8,5/16,,,,,,,"13,61",5144
3468,18703000,3,3 3/8,3/16,,,,,,,"13,11",3468
1906,37501750,1 3/4,2 1/2,3/8,,,,,,,"16,34",1906
1567,25003000,3,3 1/2,1/4,,,,,,,"13,72",1567
6424,18701875,1 7/8,2 1/4,3/16,,,,,,,"8,06",6424
1584,31203000,3,3 5/8,5/16,,,,,,,"22,18",1584
5107,25001875,1 7/8,2 3/8,1/4,,,,,,,"8,87",5107
1746,37503000,3,3 3/4,3/8,,,,,,,"25,21",1746
3460,31201875,1 7/8,2 1/2,5/16,,,,,,,"14,62",3460
3797,50003000,3,4,1/2,,,,,,,"46,89",3797
3461,37501875,1 7/8,2 5/8,3/8,,,,,,,"17,14",3461
6857,18703125,3 1/8,3 1/2,3/16,,,,,,,"13,59",6857
5111,18702000,2,2 3/8,3/16,,,,,,,"8,57",5111
6790,25003125,3 1/8,3 5/8,1/4,,,,,,,"14,42",6790
1067,25002000,2,2 1/2,1/4,,,,,,,"9,38",1067
3839,31203125,3 1/8,3 3/4,5/16,,,,,,,"23,19",3839
5156,31202000,2,2 5/8,5/16,,,,,,,"15,12",5156
6434,37503125,3 1/8,3 7/8,3/8,,,,,,,"26,27",6434
1723,37502000,2,2 3/4,3/8,,,,,,,"17,94",1723
4333,37503187,3 3/16,3 15/16,3/8,,,,,,,"26,49",4333
5814,50002000,2,3,1/2,,,,,,,"33,27",5814
5104,25003250,3 1/4,3 3/4,1/4,,,,,,,"15,12",5104
5855,18702125,2 1/8,2 1/2,3/16,,,,,,,"9,08",5855
1588,31203250,3 1/4,3 7/8,5/16,,,,,,,"23,69",1588
5140,25002125,2 1/8,2 5/8,1/4,,,,,,,"10,09",5140
1077,37503250,3 1/4,4,3/8,,,,,,,"27,17",1077
3462,31202125,2 1/8,2 3/4,5/16,,,,,,,"16,28",3462
4429,50003250,3 1/4,4 1/4,1/2,,,,,,,"51,24",4429
1490,37502125,2 1/8,2 7/8,3/8,,,,,,,"18,85",1490
3469,25003375,3 3/8,3 7/8,1/4,,,,,,,"15,93",3469
6776,18702250,2 1/4,2 5/8,3/16,,,,,,,"9,57",6776
1587,31203375,3 3/8,4,5/16,,,,,,,"25,21",1587
5136,25002250,2 1/4,2 3/4,1/4,,,,,,,"10,59",5136
3470,37503375,3 3/8,4 1/8,3/8,,,,,,,"27,72",3470
3463,31202250,2 1/4,2 7/8,5/16,,,,,,,"17,14",3463
1568,25003500,3 1/2,4,1/4,,,,,,,"17,64",1568
1558,37502250,2 1/4,3,3/8,,,,,,,"19,71",1558
1639,31203500,3 1/2,4 1/8,5/16,,,,,,,"25,71",1639
AG7943,50002250,2 1/4,3 1/4,1/2,,,,,,,"34,69",AG7943
3325,37503500,3 1/2,4 1/4,3/8,,,,,,,"28,94",3325
6632,18702375,2 3/8,2 3/4,3/16,,,,,,,"10,53",6632
4087,50003500,3 1/2,4 1/2,1/2,,,,,,,"53,94",4087
1564,25002375,2 3/8,2 7/8,1/4,,,,,,,"11,10",1564
4088,25003625,3 5/8,4 1/8,1/4,,,,,,,"18,15",4088
1621,31202375,2 3/8,3,5/16,,,,,,,"17,64",1621
AG7305,31203625,3 5/8,4 1/4,5/16,,,,,,,"28,69",AG7305
1630,37502375,2 3/8,3 1/8,3/8,,,,,,,"20,92",1630
4444,37503625,3 5/8,4 3/8,3/8,,,,,,,"29,99",4444
3464,18702500,2 1/2,2 7/8,3/16,,,,,,,"11,10",3464
6997,18703750,3 3/4,4 1/8,3/16,,,,,,,"18,64",6997
1580,25002500,2 1/2,3,1/4,,,,,,,"11,60",1580
3472,25003750,3 3/4,4 1/4,1/4,,,,,,,"18,65",3472
1575,31202500,2 1/2,3 1/8,5/16,,,,,,,"18,65",1575
3183,31203750,3 3/4,4 3/8,5/16,,,,,,,"28,23",3183
5132,37502500,2 1/2,3 1/4,3/8,,,,,,,"21,83",5132
1638,37503750,3 3/4,4 1/2,3/8,,,,,,,"31,00",1638
5045,50002500,2 1/2,3 1/2,1/2,,,,,,,"37,87",5045
4269,50003750,3 3/4,4 3/4,1/2,,,,,,,"56,47",4269
AG7946,62502500,2 1/2,3 3/4,5/8,,,,,,,"42,42",AG7946
4529,25003875,3 7/8,4 3/8,1/4,,,,,,,"18,93",4529
5815,18702625,2 5/8,3,3/16,,,,,,,"12,09",5815
3798,31203875,3 7/8,4 1/2,5/16,,,,,,,"29,23",3798
1585,25002625,2 5/8,3 1/8,1/4,,,,,,,"12,19",1585
6476,37503875,3 7/8,4 5/8,3/8,,,,,,,"34,43",6476
3465,31202625,2 5/8,3 1/4,5/16,,,,,,,"19,67",3465
4262,18704000,4,4 3/8,3/16,,,,,,,"19,55",4262
3856,25004000,4,4 1/2,1/4,,,,,,,"19,67",3856
4017,31205500,5 1/2,6 1/8,5/16,,,,,,,"45,37",4017
6475,31204000,4,4 5/8,5/16,,,,,,,"30,25",6475
4095,37505500,5 1/2,6 1/4,3/8,,,,,,,"68,06",4095
3799,37504000,4,4 3/4,3/8,,,,,,,"36,90",3799
3288,50005500,5 1/2,6 1/2,1/2,,,,,,,"105,87",3288
1583,50004000,4,5,1/2,,,,,,,"60,50",1583
4533,25005625,5 5/8,6 1/8,1/4,,,,,,,"32,24",4533
4047,18704125,4 1/8,4 1/2,3/16,,,,,,,"20,17",4047
4542,31205625,5 5/8,6 1/4,5/16,,,,,,,"48,07",4542
6473,25004125,4 1/8,4 5/8,1/4,,,,,,,"20,17",6473
4534,25005750,5 3/4,6 1/4,1/4,,,,,,,"32,99",4534
1574,31204125,4 1/8,4 3/4,5/16,,,,,,,"30,74",1574
4543,31205750,5 3/4,6 3/8,5/16,,,,,,,"51,90",4543
3997,37504125,4 1/8,4 7/8,3/8,,,,,,,"37,91",3997
3891,37505750,5 3/4,6 1/2,3/8,,,,,,,"76,56",3891
4022,25004250,4 1/4,4 3/4,1/4,,,,,,,"21,18",4022
4535,25005875,5 7/8,6 3/8,1/4,,,,,,,"39,36",4535
3999,31204250,4 1/4,4 7/8,5/16,,,,,,,"31,76",3999
4544,31205875,5 7/8,6 1/2,5/16,,,,,,,"55,71",4544
1586,37504250,4 1/4,5,3/8,,,,,,,"39,32",1586
4536,25006000,6,6 1/2,1/4,,,,,,,"50,51",4536
4025,50004250,4 1/4,5 1/4,1/2,,,,,,,"65,54",4025
3838,37506000,6,6 3/4,3/8,,,,,,,"75,62",3838
4092,25004375,4 3/8,4 7/8,1/4,,,,,,,"21,68",4092
1614,50006000,6,7,1/2,,,,,,,"110,91",1614
1635,31204375,4 3/8,5,5/16,,,,,,,"32,77",1635
4524,62506000,6,7 1/4,5/8,,,,,,,"149,53",4524
4094,37504375,4 3/8,5 1/8,3/8,,,,,,,"40,33",4094
4537,25006250,6 1/4,6 3/4,1/4,,,,,,,"63,12",4537
3890,25004500,4 1/2,5,1/4,,,,,,,"22,18",3890
4545,31206250,6 1/4,6 7/8,5/16,,,,,,,"71,98",4545
3801,31204500,4 1/2,5 1/8,5/16,,,,,,,"33,77",3801
3044,37506250,6 1/4,7,3/8,,,,,,,"69,76",3044
3800,37504500,4 1/2,5 1/4,3/8,,,,,,,"45,37",3800
4326,50006250,6 1/4,7 1/4,1/2,,,,,,,"103,53",4326
1576,50004500,4 1/2,5 1/2,1/2,,,,,,,"85,70",1576
4066,25006500,6 1/2,7,1/4,,,,,,,"42,35",4066
4024,25004625,4 5/8,5 1/8,1/4,,,,,,,"22,69",4024
4546,31206500,6 1/2,7 1/8,5/16,,,,,,,"72,79",4546
3802,37504625,4 5/8,5 3/8,3/8,,,,,,,"47,39",3802
4275,37506500,6 1/2,7 1/4,3/8,,,,,,,"80,66",4275
4530,25004750,4 3/4,5 1/4,1/4,,,,,,,"27,47",4530
3218,50006500,6 1/2,7 1/2,1/2,,,,,,,"120,98",3218
4539,31204750,4 3/4,5 3/8,5/16,,,,,,,"35,60",4539
4067,25006750,6 3/4,7 1/4,1/4,,,,,,,"45,37",4067
4000,37504750,4 3/4,5 1/2,3/8,,,,,,,"49,40",4000
4394,37506750,6 3/4,7 1/2,3/8,,,,,,,"86,31",4394
4179,50004750,4 3/4,5 3/4,1/2,,,,,,,"90,74",4179
1762,37507000,7,7 3/4,3/8,,,,,,,"90,74",1762
4802,62504750,4 3/4,6,5/8,,,,,,,"104,86",4802
1620,50007000,7,8,1/2,,,,,,,"126,03",1620
6959,25004875,4 7/8,5 3/8,1/4,,,,,,,"29,08",6959
4279,31207250,7 1/4,7 7/8,5/16,,,,,,,"81,83",4279
4555,37504875,4 7/8,5 5/8,3/8,,,,,,,"50,16",4555
