Cod,Ref,Ø INT,ØEXT. ,H,Grupo Tipo ,Marca,NCM,cest,tributação,unidade,Preco,Alfanumérico
6950,615701260326,32,40,"8,3",5,APC,39269090,2083800,1,PC,"8,11",6950
5685,615701260354,32,40,9,5,APC,39269090,2083800,1,PC,"8,06",5685
6193,619701260236,32,42,6,5,APC,39269090,2083800,1,PC,"7,56",6193
6170,619701260354,32,42,9,5,APC,39269090,2083800,1,PC,"8,32",6170
6951,615001283315,"32,6","40,2",8,5,APC,39269090,2083800,1,PC,"8,32",6951
6426,619701299295,33,43,"7,5",5,APC,39269090,2083800,1,PC,"8,06",6426
AG8148,639401330625,"33,78","53,79","15,88",5,APC,39269090,2083800,1,PC,"19,70",AG8148
6394,618701375186,"34,93","44,45","4,76",5,APC,39269090,2083800,1,PC,"7,56",6394
AG8149,617701378236,35,44,6,5,APC,39269090,2083800,1,PC,"7,56",AG8149
5819,619701378236,35,45,6,5,APC,39269090,2083800,1,PC,"7,56",5819
6367,619701378394,35,45,10,5,APC,39269090,2083800,1,PC,"8,57",6367
6187,621701377393,35,46,10,5,APC,39269090,2083800,1,PC,"8,77",6187
1589,629501378354,35,50,9,5,APC,39269090,2083800,1,PC,"9,58",1589
AG8150,621701417165,36,47,"4,2",5,APC,39269090,2083800,1,PC,"7,20",AG8150
6566,627601417314,36,50,8,5,APC,39269090,2083800,1,PC,"8,57",6566
1596,618701500266,"38,1","47,6","6,8",5,APC,39269090,2083800,1,PC,"8,06",1596
1603,639401535531,39,59,"13,5",5,APC,39269090,2083800,1,PC,"25,21",1603
6618,615701574236,40,48,6,5,APC,39269090,2083800,1,PC,"7,66",6618
AG8152,619701575236,40,50,6,5,APC,39269090,2083800,1,PC,"8,93",AG8152
6952,619701575244,40,50,"6,2",5,APC,39269090,2083800,1,PC,"9,08",6952
5416,619701574280,40,50,"7,1",5,APC,39269090,2083800,1,PC,"9,08",5416
1122,619701574354,40,50,9,5,APC,39269090,2083800,1,PC,"9,58",1122
1076,619701574374,40,50,"9,5",5,APC,39269090,2083800,1,PC,"9,58",1076
1812,619701574393,40,50,10,5,APC,39269090,2083800,1,PC,"9,68",1812
AG7941,619701574534,40,50,"13,5",5,APC,39269090,2083800,1,PC,"11,62",AG7941
5921,623601575330PM,40,52,"8,4",5,APC,39269090,2083800,1,PC,"24,73",5921
1581,629501574354,40,55,9,5,APC,39269090,2083800,1,PC,"11,10",1581
AG8154,639401574393,40,60,10,5,APC,39269090,2083800,1,PC,"23,05",AG8154
5820,639401574625,40,60,"15,9",5,APC,39269090,2083800,1,PC,"34,29",5820
1090,619701614275,41,51,7,5,APC,39269090,2083800,1,PC,"11,10",1090
6547,619701653354,42,52,9,5,APC,39269090,2083800,1,PC,"12,09",6547
6567,618701712354,"43,5",53,9,5,APC,39269090,2083800,1,PC,"10,09",6567
1091,619701732275,44,54,7,5,APC,39269090,2083800,1,PC,"10,59",1091
AG8155,618701750266,"44,45","53,97","6,75",5,APC,39269090,2083800,1,PC,"9,09",AG8155
4316,618701750275,"44,45","53,98",7,5,APC,39269090,2083800,1,PC,"9,90",4316
3078,618701752354,"44,5",54,9,5,APC,39269090,2083800,1,PC,"11,10",3078
6954,619701772394,45,55,10,5,APC,39269090,2083800,1,PC,"15,21",6954
5351,619701771511,45,55,13,5,APC,39269090,2083800,1,PC,"14,11",5351
5821,621601771275,45,56,7,5,APC,39269090,2083800,1,PC,"12,09",5821
6850,629501772354,45,60,9,5,APC,39269090,2083800,1,PC,"13,11",6850
5474,629501772394,45,60,10,5,APC,39269090,2083800,1,PC,"13,11",5474
5822,641301771394,45,66,10,5,APC,39269090,2083800,1,PC,"22,69",5822
AG8295,618701812393,46,"55,5",10,5,APC,39269090,2083800,1,PC,"15,15",AG8295
5951,619701811275,46,56,7,5,APC,39269090,2083800,1,PC,"13,61",5951
4337,668901811787,46,81,20,5,APC,39269090,2083800,1,PC,"46,15",4337
1710,629501852433,47,62,11,5,APC,39269090,2083800,1,PC,"13,11",1710
6089,619701968236,50,60,6,5,APC,39269090,2083800,1,PC,"12,61",6089
3107,619701968275,50,60,7,5,APC,39269090,2083800,1,PC,"12,61",3107
AG8333,619701968314,50,60,8,5,APC,39269090,2083800,1,PC,"12,61",AG8333
5955,619701968390,50,60,"9,9",5,APC,39269090,2083800,1,PC,"11,79",5955
1840,619701968433,50,60,11,5,APC,39269090,2083800,1,PC,"12,61",1840
6101,625601968314,50,63,8,5,APC,39269090,2083800,1,PC,"14,07",6101
