Código;Descrição;Preço
31203250-500; GAXETA 3.1/4 X 3.7/8 X 1/2;33,013
31203375; GAXETA 3.3/8 X 4 X 5/16;27,653
31203375-375; GAXETA 3.3/8 X 4 X 3/8;33,629
31203375-500; GAXETA 3.3/8 X 4 X 1/2;34,128
31203500; GAXETA 3.1/2 X 4.1/8 X 5/16;28,207
31203500-500; GAXETA 3.1/2 X 4.1/8 X 1/2;34,452
31203625; GAXETA 3.5/8 X 4.1/4 X 5/16;31,478
31203625-500; GAXETA 3.5/8 X 4.1/4 X 1/2;34,843
31203750; GAXETA 3.3/4 X 4.3/8 X 5/16;30,975
31203750-500; GAXETA 3.3/4 X 4.3/8 X 1/2;35,057
31203875; GAXETA 3.7/8 X 4.1/2 X 5/16;32,071
31203875-500; GAXETA 3.7/8 X 4.1/2 X 1/2;36,498
31204000; GAXETA 4 X 4.5/8 X 5/16;33,185
31204000-562; GAXETA 4 X 4.5/8 X 9/16;42,589
31204125; GAXETA 4.1/8 X 4.3/4 X 5/16;33,726
31204125-562; GAXETA 4.1/8 X 4.3/4 X 9/16;43,697
31204125-625; GAXETA 4.1/8 X 4.3/4 X 5/8;43,400
31204250; GAXETA 4.1/4 X 4.7/8 X 5/16;34,843
31204250-562; GAXETA 4.1/4 X 4.7/8 X 9/16;44,242
31204250-625; GAXETA 4 1/4 X 4 7/8 X 5/8;44,269
31204375; GAXETA 4.3/8 X 5 X 5/16;35,953
31204375-500; GAXETA 4.3/8 X 5 X 1/2;43,697
31204375-562; GAXETA 4.3/8 X 5 X 9/16;54,595
31204375-625; GAXETA 4.3/8 X 5 X 5/8;54,595
31204500; GAXETA 4.1/2 X 5.1/8 X 5/16;37,053
31204500-625; GAXETA 4.1/2 X 5.1/8 X 5/8;60,838
31204625-625; GAXETA 4.5/8 X 5.1/4 X 5/8;66,375
31204750; GAXETA 4.3/4 X 5.3/8 X 5/16;39,059
31204750-625; GAXETA 4.3/4 X 5.3/8 X 5/8;60,838
31205000; GAXETA 5 X 5.5/8 X 5/16;40,039
31205000-625; GAXETA 5 X 5.5/8 X 5/8;66,375
31205125; GAXETA 5.1/8 X 5.3/4 X 5/16;40,580
31205250; GAXETA 5.1/4 X 5.7/8 X 5/16;41,479
31205250-625; GAXETA 5.1/4 X 5.7/8 X 5/8;88,477
31205375; GAXETA 5.3/8 X 6 X 5/16;47,017
31205375-625; GAXETA 5.3/8 X 6 X 5/8;64,206
31205500; GAXETA 5.1/2 X 6.1/8 X 5/16;49,779
31205625; GAXETA 5.5/8 X 6.1/4 X 5/16;52,736
31205750; GAXETA 5.3/4 X 6.3/8 X 5/16;56,942
31205750-625; GAXETA 5.3/4 X 6.3/8 X 5/8;99,552
31205875; GAXETA 5.7/8 X 6.1/2 X 5/16;61,120
31206250; GAXETA 6.1/4 X 6.7/8 X 5/16;78,964
31206500; GAXETA 6.1/2 X 7.1/8 X 5/16;79,860
31206500-625; GAXETA 6.1/2 X 7.1/8 X 5/8;66,375
31206750-625; GAXETA 6.3/4 X 7.3/8 X 5/8;82,959
31207250; GAXETA 7.1/4 X 7.7/8 X 5/16;89,777
31207500-625; GAXETA 7.1/2 X 8.1/8 X 5/8;94,025
31208000; GAXETA 8 X 8.5/8 X 5/16;68,884
31209125-625; GAXETA 9.1/8 X 9.3/4 X 5/8;154,858
3133; RASPADOR TIPO D 143,00 X 153,00 X 5,00;27,653
3134; RASPADOR TIPO D 165,00 X 175,00 X 5,00;38,719
3137; RASPADOR TIPO D 187,32 X 196,85 X 5,00;49,779
3144; RASPADOR TIPO D 110,00 X 122,00 X 6,00;17,701
3181; GAXETA AG 6 63,50 X 83,00 X 12,00;30,975
3184; RASPADOR TIPO D 127,00 X 139,00 X 3,50;15,484
3493; GAXETA AG 4 95,00 X 110,00 X 10,00;59,730
3562; GAXETA AG 4 80,00 X 95,00 X 12,00;49,779
3563; GAXETA AG 4 70,00 X 85,00 X 12,00;39,322
3569; GAXETA AG 7 55,00 X 78,00 X 12,00;15,484
3592; RASPADOR TIPO D 60,00 X 70,60 X 5,50;10,507
3593; RASPADOR TIPO D 78,00 X 88,60 X 5,50;13,833
3594; RASPADOR TIPO D 99,00 X 109,60 X 5,50;15,484
3595; RASPADOR TIPO D 120,00 X 130,60 X 5,50;19,355
3596; RASPADOR TIPO D 141,00 X 151,60 X 5,50;27,101
3597; RASPADOR TIPO D 162,00 X 172,60 X 5,50;37,629
3598; RASPADOR TIPO D 183,00 X 193,60 X 5,50;47,017
3599; RASPADOR TIPO D 207,00 X 217,60 X 5,50;58,073
3600; RASPADOR TIPO D 231,00 X 241,60 X 5,50;60,838
3601; GAXETA AG 4 60,00 X 70,00 X 15,00;38,719
3602; GAXETA AG 4 78,00 X 88,00 X 15,00;55,303
3603; GAXETA AG 4 99,00 X 109,00 X 15,00;70,237
3604; GAXETA AG 4 120,00 X 130,00 X 15,00;84,622
3605; GAXETA AG 4 141,00 X 151,00 X 15,00;98,443
3606; GAXETA AG 4 162,00 X 172,00 X 15,00;113,374
3607; GAXETA AG 4 183,00 X 193,00 X 15,00;127,216
3608; GAXETA AG 4 207,00 X 217,00 X 15,00;138,270
3609; GAXETA AG 4 231,00 X 241,00 X 15,00;171,450
3618; GAXETA AG 4 212,00 X 222,00 X 13,00;127,216
3619; RASPADOR TIPO E 212,00 X 225,00 X 6,60;107,292
3620; RASPADOR TIPO E 80,00 X 93,00 X 6,60;39,826
3621; RASPADOR TIPO E 100,00 X 111,00 X 6,60;44,242
3622; RASPADOR TIPO E 118,00 X 130,00 X 6,60;55,303
3623; RASPADOR TIPO E 138,00 X 151,00 X 6,60;65,257
3624; RASPADOR TIPO E 160,00 X 173,00 X 6,60;75,223
3625; RASPADOR TIPO E 185,00 X 198,00 X 6,60;96,229
3626; GAXETA AG 4 185,00 X 195,00 X 13,00;110,617
3628; GAXETA AG 4 80,00 X 90,00 X 10,00;38,719
3629; GAXETA AG 4 100,00 X 108,00 X 11,70;47,017
3630; GAXETA AG 4 118,00 X 126,00 X 11,70;53,095
3631; GAXETA AG 4 138,00 X 146,00 X 11,70;62,504
3632; GAXETA AG 4 160,00 X 170,00 X 13,00;96,789
3641; GAXETA AG 4 45,00 X 55,00 X 7,00;8,847
3642; GAXETA AG 4 70,00 X 83,00 X 10,00;27,653
3643; GAXETA AG 4 80,00 X 93,00 X 10,00;49,779
3684; GAXETA AG 4 88,90 X 101,60 X 10,00;40,376
37500500; GAXETA 1/2 X 1 1/4 X 3/8;7,334
37500562; GAXETA 9/16 X 1.5/16 X 3/8;7,345
37500625; GAXETA 5/8 X 1.3/8 X 3/8;8,298
37500625-625; GAXETA 5/8 X 1.3/8 X 5/8;12,723
37500750; GAXETA 3/4 X 1.1/2 X 3/8;9,234
37500875; GAXETA 7/8 X 1.5/8 X 3/8;10,561
37500875-625; GAXETA 7/8 X 1.5/8 X 5/8;16,042
37501000; GAXETA 1 X 1.3/4 X 3/8;11,553
37501000-625; GAXETA 1 X 1.3/4 X 5/8;17,148
37501062; GAXETA 1.1/16 X 1.13/16 X 3/8;12,500
37501125; GAXETA 1.1/8 X 1.7/8 X 3/8;12,500
37501125-625; GAXETA 1.1/8 X 1.7/8 X 5/8;17,863
37501187; GAXETA 1.3/16 X 1.15/16 X 3/8;13,237
37501250; GAXETA 1.1/4 X 2 X 3/8;13,504
37501250-625; GAXETA 1.1/4 X 2 X 5/8;18,804
37501375; GAXETA 1.3/8 X 2.1/8 X 3/8;14,485
37501375-625; GAXETA 1.3/8 X 2.1/8 X 5/8;21,017
37501500; GAXETA 1.1/2 X 2.1/4 X 3/8;21,574
37501500-625; GAXETA 1.1/2 X 2.1/4 X 5/8;22,129
37501625; GAXETA 1.5/8 X 2.3/8 X 3/8;16,589
37501625-625; GAXETA 1.5/8 X 2.3/8 X 5/8;23,782
37501750; GAXETA 1.3/4 X 2.1/2 X 3/8;17,924
37501750-625; GAXETA 1.3/4 X 2.1/2 X 5/8;25,440
37501875; GAXETA 1.7/8 X 2.5/8 X 3/8;18,804
37501875-625; GAXETA 1.7/8 X 2.5/8 X 5/8;26,551
37502000; GAXETA 2 X 2.3/4 X 3/8;19,685
37502000-625; GAXETA 2 X 2.3/4 X 5/8;27,653
37502125; GAXETA 2.1/8 X 2.7/8 X 3/8;20,685
37502125-625; GAXETA 2.1/8 X 2.7/8 X 5/8;29,868
37502250; GAXETA 2.1/4 X 3 X 3/8;21,622
37502250-375; GAXETA 2.1/4 X 3 X 3/8;25,666
37502250-625; GAXETA 2.1/4 X 3 X 5/8;30,415
37502375; GAXETA 2.3/8 X 3.1/8 X 3/8;22,950
37502375-375; GAXETA 2.3/8 X 3.1/8 X 3/8;21,334
37502375-625; GAXETA 2.3/8 X 3.1/8 X 5/8;32,071
37502500; GAXETA 2.1/2 X 3.1/4 X 3/8;23,951
37502500-375; GAXETA 2.1/2 X 3.1/4 X 3/8;22,129
37502500-625; GAXETA 2.1/2 X 3.1/4 X 5/8;33,185
37502625; GAXETA 2.5/8 X 3.3/8 X 3/8;24,891
37502625-625; GAXETA 2.5/8 X 3.3/8 X 5/8;35,953
37502750; GAXETA 2.3/4 X 3.1/2 X 3/8;25,881
37502750-625; GAXETA 2.3/4 X 3.1/2 X 5/8;35,953
37502875; GAXETA 2.7/8 X 3.5/8 X 3/8;26,881
37502875-625; GAXETA 2.7/8 X 3.5/8 X 5/8;38,719
37503000; GAXETA 3 X 3.3/4 X 3/8;27,653
37503000-500; GAXETA 3 X 3.3/4 X 1/2;33,185
37503000-625; GAXETA 3 X 3.3/4 X 5/8;40,376
37503125; GAXETA 3.1/8 X 3.7/8 X 3/8;28,818
37503125-625; GAXETA 3.1/8 X 3.7/8 X 5/8;42,039
37503187; GAXETA 3.3/16 X 3.15/16 X 3/8;29,064
37503250; GAXETA 3.1/4 X 4 X 3/8;29,809
37503250-625; GAXETA 3.1/4 X 4 X 5/8;44,242
37503375; GAXETA 3.3/8 X 4.1/8 X 3/8;30,415
37503375-625; GAXETA 3.3/8 X 4.1/8 X 5/8;45,902
37503500; GAXETA 3.1/2 X 4.1/4 X 3/8;31,749
37503500-625; GAXETA 3.1/2 X 4.1/4 X 5/8;47,017
37503625; GAXETA 3.5/8 X 4.3/8 X 3/8;32,903
37503625-562; GAXETA 3.5/8 X 4.3/8 X 9/16;41,237
37503625-590; GAXETA 3.5/8 X 4.3/8 X 19/32;47,017
37503625-625; GAXETA 3.5/8 X 4.3/8 X 5/8;49,779
37503750; GAXETA 3.3/4 X 4.1/2 X 3/8;34,011
37503750-500; GAXETA 3.3/4 X 4.1/2 X 1/2;52,540
37503750-625; GAXETA 3.3/4 X 4.1/2 X 5/8;52,540
37503875; GAXETA 3.7/8 X 4.5/8 X 3/8;37,775
37503875-625; GAXETA 3.7/8 X 4.5/8 X 5/8;56,225
37504000; GAXETA 4 X 4.3/4 X 3/8;40,481
37504000-375; GAXETA 4 X 4.3/4 X 3/8;38,719
37504000-625; GAXETA 4 X 4.3/4 X 5/8;58,624
37504125; GAXETA 4.1/8 X 4.7/8 X 3/8;41,595
37504125-625; GAXETA 4.1/8 X 4.7/8 X 5/8;60,838
37504250; GAXETA 4.1/4 X 5 X 3/8;43,140
37504250-562; GAXETA 4.1/4 X 5 X 9/16;54,110
37504250-625; GAXETA 4.1/4 X 5 X 5/8;63,990
37504250-625; DEEP GAXETA 4.1/4 X 5 X 5/8 DEEP;63,990
37504375; GAXETA 4.3/8 X 5.1/8 X 3/8;44,242
37504375-625; GAXETA 4.3/8 X 5.1/8 X 5/8;71,901
37504500; GAXETA 4.1/2 X 5.1/4 X 3/8;49,779
37504500-625; GAXETA 4.1/2 X 5.1/4 X 5/8;69,689
37504625; GAXETA 4.5/8 X 5.3/8 X 3/8;51,990
37504750; GAXETA 4.3/4 X 5.1/2 X 3/8;54,198
37504750-625; GAXETA 4.3/4 X 5.1/2 X 5/8;71,901
37504875; GAXETA 4.7/8 X 5.5/8 X 3/8;55,032
37504875-625; GAXETA 4.7/8 X 5.5/8 X 5/8;65,564
37505000; GAXETA 5 X 5.3/4 X 3/8;55,859
37505000-375; GAXETA 5 X 5.3/4 X 3/8;71,150
37505000-625; GAXETA 5 X 5.3/4 X 5/8;74,663
37505125; GAXETA 5.1/8 X 5.7/8 X 3/8;66,375
37505125-625; GAXETA 5.1/8 X 5.7/8 X 5/8;53,651
37505250; GAXETA 5.1/4 X 6 X 3/8;71,901
37505250-625; GAXETA 5.1/4 X 6 X 5/8;88,488
37505375; GAXETA 5.3/8 X 6.1/8 X 3/8;68,884
37505375-625; GAXETA 5.3/8 X 6.1/8 X 5/8;86,111
37505500; GAXETA 5.1/2 X 6.1/4 X 3/8;74,663
37505500-625; GAXETA 5.1/2 X 6.1/4 X 5/8;92,354
37505625-625; GAXETA 5.5/8 X 6.3/8 X 5/8;96,789
37505750; GAXETA 5.3/4 X 6.1/2 X 3/8;83,994
37505750-625; GAXETA 5.3/4 X 6.1/2 X 5/8;99,552
37506000; GAXETA 6 X 6.3/4 X 3/8;82,959
37506000-375; GAXETA 6 X 6.3/4 X 3/8;83,439
37506000-625; GAXETA 6 X 6.3/4 X 5/8;110,617
37506000-750; GAXETA 6 X 6.3/4 X 3/4;121,680
37506250; GAXETA 6.1/4 X 7 X 3/8;76,537
37506250-625; GAXETA 6.1/4 X 7 X 5/8;117,031
37506375-625; GAXETA 6.3/8 X 7.1/8 X 5/8;121,680
37506500; GAXETA 6.1/2 X 7.1/4 X 3/8;88,488
37506500-625; GAXETA 6.1/2 X 7.1/4 X 5/8;127,216
37506750; GAXETA 6.3/4 X 7.1/2 X 3/8;94,688
37506750-625; GAXETA 6.3/4 X 7.1/2 X 5/8;132,730
37507000; GAXETA 7 X 7.3/4 X 3/8;99,552
37507000-625; GAXETA 7 X 7.3/4 X 5/8;138,270
37507250; GAXETA 7.1/4 X 8 X 3/8;110,617
37507250-625; GAXETA 7.1/4 X 8 X 5/8;144,957
37507500; GAXETA 7.1/2 X 8.1/4 X 3/8;114,283
37507500-625; GAXETA 7.1/2 X 8.1/4 X 5/8;150,219
37507750-625; GAXETA 7.3/4 X 8.1/2 X 5/8;154,858
37508000-625; GAXETA 8 X 8.3/4 X 5/8;159,285
37508250; GAXETA 8.1/4 X 9 X 3/8;121,680
37508250-625; GAXETA 8.1/4 X 9 X 5/8;163,706
37508500; GAXETA 8.1/2 X 9.1/4 X 3/8;113,331
37508500-625; GAXETA 8.1/2 X 9.1/4 X 5/8;206,825
37508750-625; GAXETA 8.3/4 X 9.1/2 X 5/8;146,316
37509000-625; GAXETA 9 X 9.3/4 X 5/8;151,498
37509250-625; GAXETA 9.1/4 X 10 X 5/8;182,514
37509500; GAXETA 9.1/2 X 10.1/4 X 3/8;132,730
37509500-625; GAXETA 9.1/2 X 10.1/4 X 5/8;188,046
37509750-625; GAXETA 9.3/4 X 10.1/2 X 5/8;193,580
37509750-750; GAXETA 9.3/4 X 10.1/2 X 3/4;198,262
37510000-625; GAXETA 10 X 10.3/4 X 5/8;204,740
37512375; GAXETA 12.3/8 X 13.1/8 X 3/8;138,270
3753; GAXETA AG 4 70,00 X 83,00 X 13,00;35,392
3777; GAXETA AG 4 95,00 X 110,00 X 9,20;55,303
3864; GAXETA AG 2 32,00 X 50,00 X 10,00;19,909
3881; GAXETA AG 5 45,00 X 53,00 X 6,00;15,484
3882; RASPADOR TIPO D 45,00 X 53,10 X 3,00;5,525
4076; GAXETA AG22 95,00 X 110,00 X 13,00;47,248
4127; GAXETA AG 6 165,00 X 181,00 X 16,50;77,172
4170; GAXETA AG 7 152,40 X 177,80 X 12,00;94,496
4181; GAXETA AG 4 207,00 X 217,00 X 13,50;82,173
4182; GAXETA AG 4 78,00 X 88,00 X 13,50;34,319
4183; GAXETA AG 4 100,00 X 110,00 X 13,50;40,669
4184; GAXETA AG 4 120,00 X 130,00 X 13,50;49,888
4185; GAXETA AG 4 140,00 X 150,00 X 13,50;54,331
4186; GAXETA AG 4 164,00 X 174,00 X 13,50;66,088
4187; GAXETA AG 4 183,00 X 193,00 X 13,50;74,985
4189; RASPADOR TIPO E 79,00 X 89,00 X 5,00;25,101
4190; RASPADOR TIPO E 100,00 X 110,00 X 5,00;31,776
4191; RASPADOR TIPO E 120,00 X 130,00 X 5,00;38,129
4192; RASPADOR TIPO E 140,00 X 150,00 X 5,00;44,483
4193; RASPADOR TIPO E 164,00 X 174,00 X 5,00;50,839
4194; RASPADOR TIPO E 183,00 X 193,00 X 5,00;55,922
4195; RASPADOR TIPO E 207,00 X 217,00 X 5,00;62,912
4212; GAXETA AG21 205,00 X 235,00 X 15,80;215,245
4219; RASPADOR TIPO D 85,30 X 95,30 X 7,00;22,048
4220; RASPADOR TIPO D 110,70 X 120,70 X 7,00;24,148
4313; GAXETA AG 6 126,00 X 152,00 X 15,70;60,838
4320; GAXETA AG 7 182,00 X 206,00 X 12,70;72,723
4367; GAXETA AG 2 130,00 X 150,00 X 15,00;45,255
4390; RASPADOR TIPO D 178,00 X 191,10 X 5,50;40,793
4404; GAXETA AG 4 80,00 X 100,00 X 12,00;55,439
4576; GAXETA AG 4 140,00 X 155,00 X 10,00;85,838
4828; GAXETA AG 7 155,00 X 179,30 X 12,70;145,067
4940; RASPADOR TIPO DG 105,00 X 113,00 X 4,00/7,00;76,203
4950; RASPADOR TIPO DG 60,00 X 68,00 X 4,00/7,00;19,309
4951; RASPADOR TIPO DG 90,00 X 98,00 X 4,00/7,00;71,088
50001000; GAXETA 1 X 2 X 1/2;21,907
50001250; GAXETA 1.1/4 X 2.1/4 X 1/2;29,077
50001500; GAXETA 1.1/2 X 2.1/2 X 1/2;31,899
50001500-750; GAXETA 1.1/2 X 2.1/2 X 3/4;55,303
50002000; GAXETA 2 X 3 X 1/2;36,498
50002250; GAXETA 2 .1/4 X 3.1/4 X 1/2;38,054
50002500; GAXETA 2 .1/2 X 3.1/2 X 1/2;41,551
50003000; GAXETA 3 X 4 X 1/2;51,440
50003000-562; GAXETA 3 X 4 X 9/16;58,686
50003000-625; GAXETA 3 X 4 X 5/8;64,159
50003000-750; GAXETA 3 X 4 X 3/4;76,883
50003250; GAXETA 3.1/4 X 4.1/4 X 1/2;56,214
50003500; GAXETA 3.1/2 X 4.1/2 X 1/2;59,180
50003500-750; GAXETA 3.1/2 X 4.1/2 X 3/4;63,865
50003750; GAXETA 3.3/4 X 4.3/4 X 1/2;61,949
50003750-750; GAXETA 3.3/4 X 4.3/4 X 3/4;94,025
50004000; GAXETA 4 X 5 X 1/2;66,375
50004000-500; GAXETA 4 X 5 X 1/2;69,028
50004000-750; GAXETA 4 X 5 X 3/4;99,552
50004250; GAXETA 4.1/4 X 5.1/4 X 1/2;71,901
50004250-750; GAXETA 4.1/4 X 5.1/4 X 3/4;110,617
50004500; GAXETA 4.1/2 X 5.1/2 X 1/2;94,025
50004500-750; GAXETA 4.1/2 X 5.1/2 X 3/4;116,148
50004750; GAXETA 4.3/4 X 5.3/4 X 1/2;99,552
50004750-750; GAXETA 4.3/4 X 5.3/4 X 3/4;127,166
50005000; GAXETA 5 X 6 X 1/2;105,087
50005000-750; GAXETA 5 X 6 X 3/4;116,148
50005250; GAXETA 5.1/4 X 6.1/4 X 1/2;110,617
50005500; GAXETA 5.1/2 X 6.1/2 X 1/2;116,148
50005500-750; GAXETA 5.1/2 X 6.1/2 X 3/4;132,730
50005750-750; GAXETA 5.3/4 X 6.3/4 X 3/4;138,270
50006000; GAXETA 6 X 7 X 1/2;121,680
50006000-750; GAXETA 6 X 7 X 3/4;146,993
50006250; GAXETA 6.1/4 X 7.1/4 X 1/2;113,577
50006500; GAXETA 6.1/2 X 7.1/2 X 1/2;132,730
50006500-750; GAXETA 6.1/2 X 7.1/2 X 3/4;154,858
50006750-750; GAXETA 6.3/4 X 7.3/4 X 3/4;160,388
50007000; GAXETA 7 X 8 X 1/2;138,270
50007000-750; GAXETA 7 X 8 X 3/4;148,140
50007500-750; GAXETA 7.1/2 X 8.1/2 X 3/4;176,989
50007750; GAXETA 7.3/4 X 8.3/4 X 1/2;152,106
50007750-750; GAXETA 7.3/4 X 8.3/4 X 3/4;159,531
50008000; GAXETA 8 X 9 X 1/2;154,858
50008000-750; GAXETA 8 X 9 X 3/4;188,046
50008250-750; GAXETA 8.1/4 X 9.1/4 X 3/4;199,640
50008500; GAXETA 8.1/2 X 9.1/2 X 1/2;157,494
50008500-750; GAXETA 8.1/2 X 9.1/2 X 3/4;199,111
50008750-750; GAXETA 8.3/4 X 9.3/4 X 3/4;208,329
50009000; GAXETA 9 X 10 X 1/2;165,926
50009000-750; GAXETA 9 X 10 X 3/4;210,164
50010000; GAXETA 10 X 11 X 1/2;129,271
50010000-750; GAXETA 10 X 11 X 3/4;232,289
50010500-750; GAXETA 10.1/2 X 11.1/2 X 3/4;290,026
50011000-750; GAXETA 11 X 12 X 3/4;336,471
5043; GAXETA AG 6 59,40 X 75,30 X 12,50;30,274
5117; RASPADOR TIPO D 25,00 X 33,00 X 4,00;4,426
5276; RASPADOR TIPO RP-25 63,50 X 76,20 X 6,50;16,589
5318; RASPADOR TIPO D 50,00 X 60,00 X 2,30;7,407
5321; RASPADOR TIPO D 43,00 X 64,00 X 3,20;8,619
5322; RASPADOR TIPO D 55,00 X 64,00 X 4,80;8,847
5324; RASPADOR TIPO K 38,10 X 47,62 X 5,00;7,744
5330; RASPADOR TIPO D 30,00 X 39,00 X 4,50;5,037
5388; RASPADOR TIPO D 30,00 X 37,00 X 5,00;4,759
5407; RASPADOR TIPO D 30,00 X 37,00 X 2,50;3,868
5425; RASPADOR TIPO D 78,00 X 88,00 X 3,30;18,804
5432; RASPADOR TIPO D 32,00 X 39,00 X 2,50;4,426
5441; GAXETA AG 2 20,00 X 27,00 X 4,50;4,976
5463; RASPADOR TIPO D 41,00 X 48,00 X 2,50;4,426
5494; RASPADOR TIPO DG 32,00 X 40,00 X 4,00/7,00;6,085
5533; GAXETA AG 5 36,00 X 44,00 X 8,00;12,723
5550; RASPADOR TIPO D 40,00 X 48,00 X 4,50;5,303
5617; GAXETA AG 7 38,00 X 45,00 X 6,30;10,604
5621; RASPADOR TIPO DG 38,00 X 46,00 X 4,00/7,00;7,192
5622; GAXETA AG 4 38,00 X 48,00 X 8,00 AMARELA;8,847
5635; RASPADOR TIPO D 23,50 X 32,00 X 5,00;4,426
5638; RASPADOR TIPO RP-25 35,00 X 45,00 X 6,00;9,400
5639; RASPADOR TIPO RP-25 22,00 X 32,00 X 5,50;7,744
5641; GAXETA AG 7 18,00 X 45,00 X 12,00;22,129
5642; GAXETA AG 2 32,00 X 46,00 X 11,00;14,928
5684; RASPADOR TIPO D 25,00 X 33,00 X 4,70;4,703
5709; GAXETA AG 7 18,00 X 29,00 X 8,00;10,500
5710; GAXETA AG 7 31,00 X 48,00 X 8,00;18,898
5718; RASPADOR TIPO D 20,00 X 26,00 X 2,50;3,868
5730; RASPADOR TIPO RP-25 28,00 X 36,00 X 4,70;9,118
5744; GAXETA AG 3 7,50 X 13,50 X 3,50;3,868
5745; RASPADOR TIPO D 50,00 X 58,60 X 3,00;5,525
5773; RASPADOR TIPO D 38,20 X 48,20 X 4,30;6,310
5801; GAXETA AG 4 20,00 X 25,00 X 4,00;8,847
5806; RASPADOR TIPO D 45,00 X 55,30 X 3,75;6,747
5809; RASPADOR TIPO D 60,00 X 68,00 X 4,00;7,461
5841; GAXETA AG 4 18,00 X 28,00 X 8,00;10,507
5844; GAXETA AG 4 36,00 X 42,00 X 4,50;7,744
5876; RASPADOR TIPO K 31,75 X 38,10 X 4,76;13,000
5882; RASPADOR TIPO DG 25,40 X 33,34 X 4,00/7,00;11,066
5886; RASPADOR TIPO DG 42,00 X 50,00 X 4,00/7,00;7,744
5901; RASPADOR TIPO DG 18,00 X 25,00 X 3,50/5,00;5,086
5909; RASPADOR TIPO DG 36,00 X 44,00 X 4,00/7,00;6,861
5916-2; RASPADOR TIPO D 19,00 X 24,70 X 1,8/4,0;3,868
5938; GAXETA AG16 30,00 X 40,00 X 9,00;16,589
5954; RASPADOR TIPO D 16,00 X 23,00 X 3,00;3,868
5961; RASPADOR TIPO D 29,00 X 36,00 X 2,50;3,868
6014; GAXETA AG 4 36,00 X 49,00 X 9,50;16,161
6058; RASPADOR TIPO D 55,00 X 65,50 X 5,30/6,50;10,507
6086; RASPADOR TIPO D 86,00 X 96,00 X 3,00;13,122
610800642-291; GAXETA 16,30 X 21,80 X 7,40;5,303
611000803-197; GAXETA 20,40 X 26,00 X 5,00;5,516
6111; GAXETA AG22 10,00 X 14,00 X 4,00;11,379
611800394-224; GAXETA 10,00 X 16,00 X 5,70;5,209
611800748-244; GAXETA 19,00 X 25,00 X 6,20;5,303
611800787-250BS; GAXETA AG 4 20,00 X 26,00 X 6,35;9,452
611800787-256; GAXETA 20,00 X 26,00 X 6,50;5,525
612500612; GAXETA 15,54 X 21,90 X 3,17;7,744
612500750-178; GAXETA 19,05 X 25,40 X 4,52;5,525
612902368-220; GAXETA 60,15 X 66,70 X 5,60;15,345
612902570-220; GAXETA 65,30 X 71,85 X 5,60;16,876
613750748-196; GAXETA 19,00 X 26,00 X 5,00;4,426
613771102-275; GAXETA 28,00 X 35,00 X 7,00;6,861
6138; RASPADOR TIPO D 74,00 X 82,00 X 3,00;9,959
613800964-276; GAXETA 24,50 X 31,50 X 7,00;6,641
613800984-276; GAXETA 25,00 X 32,00 X 7,00;7,033
6139; RASPADOR TIPO D 95,25 X 107,95 X 3,00;13,263
614801102-236; GAXETA 28,00 X 35,50 X 6,00;6,861
615001283-315; GAXETA 32,60 X 40,20 X 8,00;9,130
615700472-236; GAXETA 11,98 X 19,98 X 6,00;5,369
615700708-295; GAXETA 18,00 X 26,00 X 7,50;5,525
615700787; GAXETA 20,00 X 28,00 X 4,00;7,744
615700787-157; GAXETA 20,00 X 28,00 X 4,00;5,525
615700787-275; GAXETA 20,00 X 28,00 X 7,00;5,525
615700866-195; GAXETA 22,00 X 30,00 X 5,00 STD. DEEP;8,298
615700866-256; GAXETA 22,00 X 30,00 X 6,50;6,647
615701181-314; GAXETA 30,00 X 38,00 X 8,00;7,744
615701260-197; GAXETA 32,00 X 40,00 X 5,00;8,373
615701260-326; GAXETA 32,00 X 40,00 X 8,30;8,900
615701260-354; GAXETA 32,00 X 40,00 X 9,00;8,847
615701574-236; GAXETA 40,00 X 48,00 X 6,00;8,404
615702440-472; GAXETA 62,00 X 70,00 X 12,00;28,757
615702835-472; GAXETA 72,00 X 80,00 X 12,00;30,940
615703357-472; GAXETA 85,26 X 93,23 X 12,00;31,803
615703858-393; GAXETA 98,00 X 106,00 X 10,00;27,101
615704355-472; GAXETA 110,60 X 118,60 X 12,00;44,366
615704360-430; GAXETA 110,70 X 118,70 X 10,90;33,185
615704685-393; GAXETA 119,00 X 127,00 X 10,00;30,975
615706299-500; GAXETA 160,00 X 168,00 X 12,70;66,375
6159; GAXETA AG19 15,88 X 22,23 X 5,56;15,484
6171; GAXETA AG 2 35,00 X 45,00 X 9,00;10,507
6175; GAXETA AG 3 31,00 X 44,00 X 9,50;15,484
617700669-276; GAXETA 17,00 X 26,00 X 7,00;5,540
617700689-295; GAXETA 17,50 X 26,50 X 7,50;5,525
617700984-228; GAXETA 25,00 X 34,00 X 5,80;6,641
617701102-314; GAXETA 28,00 X 37,00 X 8,00;7,811
617701378-236; GAXETA 35,00 X 44,00 X 6,00;8,298
617702795-236; GAXETA 71,00 X 80,00 X 6,00 STD. DEEP;28,495
617703070-393; GAXETA 78,00 X 87,00 X 10,00;24,330
618103185-500; GAXETA 80,90 X 90,10 X 12,70;30,415
6183; RASPADOR TIPO RP-25 35,00 X 45,00 X 5,50;9,400
618700500-261; GAXETA 12,70 22,22 X 6,63;5,369
