Código;Descrição;Preço
18700687; GAXETA 11/16 X 1.1/16 X 3/16;4,861
18700687-312; GAXETA 11/16 X 1.1/16 X 5/16;5,525
18700750; GAXETA 3/4 X 1.1/8 X 3/16;5,757
18700750-312; GAXETA 3/4 X 1.1/8 X 5/16;4,820
18700812; GAXETA 13/16 X 1.3/16 X 3/16;6,443
18700812-187; GAXETA 13/16 X 1.3/16 X 3/16;6,443
18700812-312; GAXETA 13/16 X 1.3/16 X 5/16;4,976
18700875; GAXETA 7/8 X 1.1/4 X 3/16;4,861
18700875-250; GAXETA 7/8 X 1.1/4 X 1/4;5,352
18700875-312; GAXETA 7/8 X 1.1/4 X 5/16;5,368
18701000; GAXETA 1 X 1.3/8 X 3/16;4,976
18701000-312; GAXETA 1 X 1.3/8 X 5/16;5,977
18701000-312BS; GAXETA AG 4 1 X 1.3/8 X 5/16;9,980
18701062; GAXETA 1.1/16 X 1.7/16 X 3/16;4,976
18701062-250; GAXETA 1.1/16 X 1.7/16 X 1/4;5,977
18701062-312; GAXETA 1.1/16 X 1.7/16 X 5/16;6,419
18701125; GAXETA 1.1/8 X 1.1/2 X 3/16;5,263
18701125-312; GAXETA 1.1/8 X 1.1/2 X 5/16;6,641
18701187; GAXETA 1.3/16 X 1.9/16 X 3/16;5,525
18701187-312; GAXETA 1.3/16 X 1.9/16 X 5/16;6,578
18701250; GAXETA 1.1/4 X 1.5/8 X 3/16;6,641
18701250-312; GAXETA 1.1/4 X 1.5/8 X 5/16;7,192
18701250-312BS; GAXETA AG 4 1.1/4 X 1.5/8 X 5/16;12,891
18701250-375; GAXETA 1.1/4 X 1.5/8 X 3/8;7,364
18701312; GAXETA 1.5/16 X 1.11/16 X 3/16;6,641
18701312-312; GAXETA 1.5/16 X 1.11/16 X 5/16;7,192
18701375; GAXETA 1.3/8 X 1.3/4 X 3/16;6,962
18701375-250; GAXETA 1.3/8 X 1.3/4 X 1/4;6,861
18701375-312; GAXETA 1.3/8 X 1.3/4 X 5/16;7,522
18701375-375; GAXETA 1.3/8 X 1.3/4 X 3/8;8,909
18701437-312; GAXETA 1.7/16 X 1.13/16 X 5/16;10,753
18701437-375; GAXETA 1.7/16 X 1.13/16 X 3/8;10,853
18701500; GAXETA 1.1/2 X 1.7/8 X 3/16;7,522
18701500-312; GAXETA 1.1/2 X 1.7/8 X 5/16;7,854
18701500-375; GAXETA 1.1/2 X 1.7/8 X 3/8;9,400
18701625; GAXETA 1.5/8 X 2 X 3/16;8,077
18701625-312; GAXETA 1.5/8 X 2 X 5/16;8,619
18701625-375; GAXETA 1.5/8 X 2 X 3/8;10,180
18701750; GAXETA 1.3/4 X 2.1/8 X 3/16;8,298
18701750-250; GAXETA 1.3/4 X 2.1/8 X 1/4;9,181
18701750-250BS; GAXETA AG 4 1.3/4 X 2.1/8 X 1/4;9,959
18701750-312; GAXETA 1.3/4 X 2.1/8 X 5/16;9,181
18701750-375; GAXETA 1.3/4 X 2.1/8 X 3/8;10,894
18701812-375; GAXETA 1.13/16 X 2.3/16 X 3/8;11,330
18701875; GAXETA 1.7/8 X 2.1/4 X 3/16;8,847
18701875-375; GAXETA 1.7/8 X 2.1/4 X 3/8;11,553
18702000; GAXETA 2 X 2.3/8 X 3/16;9,400
18702000-375; GAXETA 2 X 2.3/8 X 3/8;12,219
18702125; GAXETA 2.1/8 X 2.1/2 X 3/16;9,959
18702125-375; GAXETA 2.1/8 X 2.1/2 X 3/8;13,002
18702125-375BS; GAXETA AG 4 2.1/8 X 2.1/2 X 3/8;40,299
18702250; GAXETA 2.1/4 X 2.5/8 X 3/16;10,500
18702250-375; GAXETA 2.1/4 X 2.5/8 X 3/8;13,833
18702375; GAXETA 2.3/8 X 2.3/4 X 3/16;11,549
18702375-375; GAXETA 2.3/8 X 2.3/4 X 3/8;14,446
18702375-500; GAXETA 2.3/8 X 2.3/4 X 1/2;19,909
18702500; GAXETA 2.1/2 X 2.7/8 X 3/16;12,172
18702500-312BS; GAXETA AG 4 2.1/2 X 2.7/8 X 5/16;21,371
18702500-375; GAXETA 2.1/2 X 2.7/8 X 3/8;15,102
18702500-375BS; GAXETA AG 4 2.1/2 X 2.7/8 X 3/8;21,700
18702625; GAXETA 2.5/8 X 3 X 3/16;13,263
18702625-375; GAXETA 2.5/8 X 3 X 3/8;15,756
18702750; GAXETA 2.3/4 X 3.1/8 X 3/16;13,263
18702750-375; GAXETA 2.3/4 X 3.1/8 X 3/8;16,589
18702875; GAXETA 2.7/8 X 3.1/4 X 3/16;13,833
18702875-375; GAXETA 2.7/8 X 3.1/4 X 3/8;17,201
18703000; GAXETA 3 X 3.3/8 X 3/16;14,382
18703000-375; GAXETA 3 X 3.3/8 X 3/8;17,979
18703125; GAXETA 3.1/8 X 3.1/2 X 3/16;14,911
18703125-375; GAXETA 3.1/8 X 3.1/2 X 3/8;18,804
18703125-500; GAXETA 3.1/8 X 3.1/2 X 1/2;25,992
18703250-375; GAXETA 3.1/4 X 3.5/8 X 3/8;19,355
18703375-375; GAXETA 3.3/8 X 3.3/4 X 3/8;20,022
18703375-500; GAXETA 3 3/8 X 3 3/4 X 1/2;32,581
18703500-375; GAXETA 3.1/2 X 3.7/8 X 3/8;20,685
18703625-375; GAXETA 3.5/8 X 4 X 3/8;21,346
18703750; GAXETA 3.3/4 X 4.1/8 X 3/16;20,445
18703750-375; GAXETA 3.3/4 X 4.1/8 X 3/8;21,844
18703875-375; GAXETA 3.7/8 X 4.1/4 X 3/8;22,676
18704000; GAXETA 4 X 4.3/8 X 3/16;21,449
18704000-375; GAXETA 4 X 4.3/8 X 3/8;23,782
18704000-500; GAXETA 4 X 4.3/8 X 1/2;33,185
18704125; GAXETA 4.1/8 X 4.1/2 X 3/16;22,129
18704125-375; GAXETA 4.1/8 X 4.1/2 X 3/8;24,330
18704250-375; GAXETA 4.1/4 X 4.5/8 X 3/8;26,551
18704375-375; GAXETA 4.3/8 X 4.3/4 X 3/8;27,653
18704375-500; GAXETA 4.3/8 X 4.3/4 X 1/2;35,953
18704500-375; GAXETA 4.1/2 X 4.7/8 X 3/8;22,568
18704875-500; GAXETA 4.7/8 X 5.1/4 X 1/2;41,479
18705500-500; GAXETA 5.1/2 X 5.7/8 X 1/2;45,999
18705625-500; GAXETA 5.5/8 X 6 X 1/2;47,017
18706500-500; GAXETA 6.1/2 X 6.7/8 X 1/2;52,540
18707375-500; GAXETA 7.3/8 X 7.3/4 X 1/2;65,257
1908; RASPADOR TIPO K 85,73 X 98,43 X 8,50;15,484
1909; RASPADOR TIPO K 101,60 X 114,30 X 8,50;18,804
1939; GAXETA AG 9 133,35 X 139,70 X 5,00;15,484
1942; GAXETA AG 4 60,00 X 75,00 X 10,00;28,757
1967; GAXETA AG 4 56,00 X 71,00 X 10,00;24,891
1976; RASPADOR TIPO RP-25 50,00 X 60,00 X 5,50;9,400
1977; RASPADOR TIPO RP-25 69,90 X 82,60 X 7,00;23,782
1979; GAXETA AG 6 60,00 X 76,00 X 13,00;30,975
1981; GAXETA AG 4 63,00 X 79,00 X 10,00;29,868
25000250; GAXETA 1/4 X 3/4 X 1/4;3,868
25000312; GAXETA 5/16 X 13/16 X 1/4;3,868
25000375; GAXETA 3/8 X 7/8 X 1/4;3,868
25000437; GAXETA 7/16 X 15/16 X 1/4;3,868
